Start(s),End(s),Longitude,Latitude,image_names
0.1,0.2,73.00135763743417,19.149798647687,"['DJI_0010.JPG', 'DJI_0011.JPG', 'DJI_0012.JPG', 'DJI_0013.JPG']"
0.2,0.3,73.00133032234424,19.15009562139936,"['DJI_0010.JPG', 'DJI_0011.JPG', 'DJI_0012.JPG', 'DJI_0046.JPG', 'DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0049.JPG']"
0.3,0.4,73.00133054701594,19.15014289798843,"['DJI_0010.JPG', 'DJI_0011.JPG', 'DJI_0012.JPG', 'DJI_0046.JPG', 'DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0049.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG']"
0.4,0.5,73.0013307073652,19.15017665911837,"['DJI_0011.JPG', 'DJI_0046.JPG', 'DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0049.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG']"
0.5,0.6,73.00132376677641,19.15021711710226,"['DJI_0046.JPG', 'DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0049.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG']"
0.6,0.7,73.00132386340451,19.15023736602781,"['DJI_0046.JPG', 'DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0049.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG']"
0.7,0.8,73.00132412105252,19.15029135274155,"['DJI_0046.JPG', 'DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0049.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG']"
0.8,0.9,73.00132424972972,19.15031833940977,"['DJI_0046.JPG', 'DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0049.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG']"
0.9,1.0,73.00132453953252,19.15037904396667,"['DJI_0046.JPG', 'DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0095.JPG']"
1.0,1.1,73.00132463611628,19.15039927389854,"['DJI_0047.JPG', 'DJI_0048.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG']"
1.1,1.2,73.00132489350985,19.15045320983492,"['DJI_0047.JPG', 'DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG']"
1.2,1.3,73.0013251185583,19.1505003897055,"['DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0097.JPG']"
1.3,1.4,73.00132521503909,19.15052060542047,"['DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0097.JPG']"
1.4,1.5,73.00132531258238,19.15054752112133,"['DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0097.JPG']"
1.5,1.6,73.00134662731992,19.15057436498573,"['DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0097.JPG']"
1.6,1.7,73.00135369040767,19.15060113096392,"['DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0097.JPG']"
1.7,1.8,73.00136075333278,19.15062789889061,"['DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0097.JPG']"
1.8,1.9,73.00138914669547,19.15067482606198,"['DJI_0055.JPG', 'DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0093.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0097.JPG', 'DJI_0106.JPG', 'DJI_0107.JPG']"
1.9,2.0,73.00141047532118,19.1506882837499,"['DJI_0056.JPG', 'DJI_0057.JPG', 'DJI_0093.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0106.JPG', 'DJI_0107.JPG']"
2.0,2.1,73.00145299060767,19.15074854024028,"['DJI_0093.JPG', 'DJI_0094.JPG', 'DJI_0095.JPG', 'DJI_0096.JPG', 'DJI_0106.JPG', 'DJI_0107.JPG', 'DJI_0108.JPG']"
